Vote;;;ALDE;;;;ECR;;;;EFDD;;;;ENF;;;;GUE/NGL;;;;NI;;;;PPE;;;;S&D;;;;Verts/ALE;;;
vote_year;vote_date;vote_name;ABST;CONTRE;POUR;Total;ABST;CONTRE;POUR;Total ECR;ABST;CONTRE;POUR;Total EFDD;ABST;CONTRE;POUR;Total ENF;ABST;CONTRE;POUR;Total GUE/NGL;ABST;CONTRE;POUR;Total NI;ABST;CONTRE;POUR;Total PPE;ABST;CONTRE;POUR;Total S&D;ABST;CONTRE;POUR;Total Verts/ALE
2014;16/07/2014;1. Nomination de 4 membres de la Commission europÇenne Jyrki Katainen, Jacek Dominik, Ferdinando Nelli Feroci et Martine Reicherts 16/07/2014;1;3;57;61;3;40;17;60;2;27;3;32;;;;;9;29;;38;;38;;38;2;;190;192;3;3;151;157;12;30;3;45
2014;16/07/2014;2. A8-0001/2014 Werner Langen Am 4 16/07/2014;;57;6;63;1;58;1;60;;;40;40;;;;;2;;41;43;3;3;40;46;;194;1;195;3;163;11;177;1;39;8;48
2014;16/07/2014;3. A8-0001/2014 Werner Langen Am 1 16/07/2014;1;61;2;64;2;57;;59;;1;43;44;;;;;6;1;38;45;10;35;2;47;;199;;199;;170;5;175;;1;47;48
2014;16/07/2014;4. A8-0001/2014 Werner Langen Am 3 16/07/2014;;65;;65;1;57;1;59;2;1;42;45;;;;;26;15;;41;5;40;3;48;;200;;200;2;172;3;177;4;;44;48
2014;16/07/2014;5. A8-0001/2014 Werner Langen RÇsolution lÇgislative 16/07/2014;;1;64;65;3;9;49;61;4;39;2;45;;;;;24;21;;45;2;44;2;48;;;201;201;;1;180;181;1;1;47;49
2014;17/07/2014;1. RC-B8-0016/2014 Am 1 17/07/2014;;;54;54;3;21;31;55;18;3;14;35;;;;;;1;40;41;3;43;1;47;;159;25;184;3;;157;160;;;46;46
2014;17/07/2014;10. RC-B8-0025/2014 RÇsolution 17/07/2014;1;2;56;59;2;1;56;59;4;28;3;35;;;;;6;36;;42;;48;1;49;7;1;175;183;1;1;163;165;;4;43;47
2014;17/07/2014;11. RC-B8-0027/2014 Am 9 17/07/2014;1;56;1;58;1;55;1;57;1;18;16;35;;;;;4;3;34;41;22;11;9;42;3;168;10;181;137;3;21;161;;;44;44
2014;17/07/2014;12. RC-B8-0027/2014 Am 4S 17/07/2014;;54;5;59;1;1;57;59;1;16;20;37;;;;;1;33;8;42;2;2;45;49;1;175;9;185;15;149;5;169;;44;1;45
2014;17/07/2014;13. RC-B8-0027/2014 Am 10 17/07/2014;1;57;1;59;1;58;;59;2;18;18;38;;;;;1;;41;42;36;8;5;49;;185;;185;143;;24;167;30;3;14;47
2014;17/07/2014;14. RC-B8-0027/2014 Am 11 17/07/2014;1;56;2;59;2;54;2;58;;20;18;38;;;;;2;;37;39;1;11;36;48;1;178;2;181;130;;36;166;;;45;45
2014;17/07/2014;15. RC-B8-0027/2014 Am 12 17/07/2014;;58;1;59;1;58;;59;20;1;18;39;;;;;1;;41;42;5;9;35;49;;186;;186;150;1;16;167;5;;41;46
2014;17/07/2014;16. RC-B8-0027/2014 Am 13 17/07/2014;;58;1;59;3;53;2;58;1;19;19;39;;;;;3;;37;40;3;10;36;49;;181;1;182;138;;27;165;2;42;3;47
2014;17/07/2014;17. RC-B8-0027/2014 Am 7S 17/07/2014;;54;5;59;4;18;36;58;2;19;18;39;;;;;1;39;1;41;3;34;12;49;;183;2;185;3;160;;163;;46;;46
2014;17/07/2014;18. RC-B8-0027/2014 ı 42/1 17/07/2014;;;59;59;3;55;1;59;2;17;20;39;;;;;2;3;36;41;31;12;6;49;;;184;184;1;1;165;167;;;45;45
2014;17/07/2014;19. RC-B8-0027/2014 ı 42/2 17/07/2014;;;56;56;1;2;55;58;18;17;3;38;;;;;2;38;;40;36;6;7;49;;1;178;179;162;2;1;165;;44;1;45
2014;17/07/2014;2. RC-B8-0016/2014 RÇsolution 17/07/2014;;;55;55;10;1;44;55;18;;17;35;;;;;4;;37;41;2;27;20;49;;;184;184;1;;161;162;;;46;46
2014;17/07/2014;20. RC-B8-0027/2014 ı 42/3 17/07/2014;;;58;58;;;57;57;1;17;20;38;;;;;2;6;31;39;5;6;36;47;;;183;183;159;;6;165;;;46;46
2014;17/07/2014;21. RC-B8-0027/2014 ı 42/4 17/07/2014;;;59;59;1;;57;58;1;18;20;39;;;;;4;33;4;41;7;6;36;49;1;;182;183;39;;129;168;;;46;46
2014;17/07/2014;22. RC-B8-0027/2014 Am 3 17/07/2014;;52;6;58;;;57;57;;19;20;39;;;;;;5;36;41;;3;46;49;;158;25;183;;158;6;164;;;47;47
2014;17/07/2014;23. RC-B8-0027/2014 Am 14 17/07/2014;;56;3;59;1;57;1;59;1;18;20;39;;;;;1;;41;42;1;41;7;49;2;182;;184;137;1;30;168;1;;46;47
2014;17/07/2014;24. RC-B8-0027/2014 ı 44 17/07/2014;;1;56;57;4;;54;58;1;17;20;38;;;;;2;39;;41;9;31;9;49;1;;182;183;135;1;30;166;;46;;46
2014;17/07/2014;25. RC-B8-0027/2014 Am 8 17/07/2014;;55;4;59;2;22;33;57;22;16;1;39;;;;;1;39;2;42;1;39;9;49;168;4;11;183;4;155;8;167;;47;;47
2014;17/07/2014;26. RC-B8-0027/2014 Am 5 17/07/2014;1;53;4;58;;22;37;59;3;17;19;39;;;;;5;32;4;41;5;38;6;49;169;5;7;181;1;163;2;166;;;45;45
2014;17/07/2014;27. RC-B8-0027/2014 RÇsolution 17/07/2014;3;;54;57;1;33;24;58;;19;20;39;;;;;13;18;11;42;4;40;5;49;;2;178;180;;;167;167;1;;43;44
2014;17/07/2014;28. RC-B8-0059/2014 Am 2 17/07/2014;1;56;1;58;1;49;7;57;8;13;17;38;;;;;3;1;34;38;7;5;35;47;;178;3;181;10;148;4;162;;1;43;44
2014;17/07/2014;29. RC-B8-0071/2014 Am 2 17/07/2014;2;51;4;57;3;54;1;58;5;21;12;38;;;;;;1;41;42;12;28;8;48;2;176;4;182;5;140;20;165;1;1;43;45
2014;17/07/2014;3. RC-B8-0025/2014 Am 8/1 17/07/2014;2;1;56;59;;13;45;58;2;1;32;35;;;;;8;;33;41;14;32;1;47;;;183;183;;1;165;166;;;47;47
2014;17/07/2014;30. RC-B8-0071/2014 Am 7 17/07/2014;;57;1;58;1;57;;58;8;28;2;38;;;;;;;42;42;10;33;5;48;1;174;3;178;4;150;8;162;19;6;19;44
2014;17/07/2014;31. RC-B8-0071/2014 Am 1 17/07/2014;2;52;2;56;3;54;;57;7;17;12;36;;;;;;;40;40;7;34;8;49;1;177;3;181;2;;165;167;;;45;45
2014;17/07/2014;32. RC-B8-0071/2014 Am 3 17/07/2014;3;51;3;57;1;54;3;58;23;;15;38;;;;;;;40;40;16;30;3;49;;174;3;177;2;128;34;164;1;;42;43
2014;17/07/2014;33. RC-B8-0071/2014 Am 5 17/07/2014;3;52;2;57;4;53;;57;7;15;15;37;;;;;;;41;41;9;8;32;49;1;176;4;181;10;135;21;166;2;;43;45
2014;17/07/2014;34. RC-B8-0071/2014 RÇsolution 17/07/2014;;1;57;58;;5;53;58;34;;4;38;;;;;;42;;42;11;33;5;49;1;2;176;179;2;1;163;166;12;29;1;42
2014;17/07/2014;4. RC-B8-0025/2014 Am 8/2 17/07/2014;1;50;7;58;;14;42;56;18;;16;34;;;;;;;36;36;8;7;30;45;2;175;6;183;;;156;156;;;43;43
2014;17/07/2014;5. RC-B8-0025/2014 Am 8/3 17/07/2014;;1;56;57;;10;46;56;16;;17;33;;;;;;;35;35;4;11;33;48;1;1;181;183;1;1;155;157;;;41;41
2014;17/07/2014;6. RC-B8-0025/2014 Am 9 17/07/2014;;;59;59;;1;57;58;2;1;32;35;;;;;;;40;40;9;6;34;49;;1;179;180;;;161;161;;;44;44
2014;17/07/2014;7. RC-B8-0025/2014 Am 2 17/07/2014;2;43;14;59;32;3;21;56;18;15;2;35;;;;;5;31;5;41;6;43;;49;2;91;93;186;5;150;11;166;1;;46;47
2014;17/07/2014;8. RC-B8-0025/2014 Am 11 17/07/2014;1;1;56;58;1;15;43;59;18;14;4;36;;;;;;4;38;42;5;34;10;49;1;;182;183;1;1;164;166;;;46;46
2014;17/07/2014;9. RC-B8-0025/2014 Am 5 17/07/2014;1;2;56;59;5;2;48;55;3;29;2;34;;;;;7;32;3;42;1;46;1;48;6;59;112;177;2;157;8;167;;2;43;45
2014;16/09/2014;1. A8-0002/2014 Jacek Saryusz-Wolski approbation 16/09/2014;1;1;60;62;5;3;53;61;18;24;2;44;;;;;1;47;1;49;;49;1;50;5;;206;211;3;1;177;181;2;2;35;39
2014;16/09/2014;2. A8-0009/2014 Claude Moraes approbation 16/09/2014;1;1;60;62;16;5;39;60;;25;19;44;;;;;1;47;1;49;6;43;1;50;3;;206;209;3;1;177;181;3;1;36;40
2014;17/09/2014;1. A8-0003/2014 Liadh N° Riada Vote unique 17/09/2014;4;1;57;62;17;37;6;60;17;24;2;43;;;;;2;;44;46;27;11;12;50;;7;207;214;;;182;182;;;40;40
2014;17/09/2014;2. A8-0004/2014 Georgios Kyrtsos Vote unique 17/09/2014;4;1;59;64;4;33;23;60;;24;19;43;;;;;2;;46;48;;10;42;52;1;1;212;214;;;183;183;;;40;40
2014;17/09/2014;3. A8-0008/2014 Siegfried Mure?an Vote unique 17/09/2014;4;1;57;62;4;33;23;60;;24;19;43;;;;;2;;47;49;5;12;35;52;1;1;211;213;;;181;181;;;41;41
2014;17/09/2014;4. A8-0006/2014 Anneli JÑÑtteenmÑki Vote unique 17/09/2014;4;1;55;60;19;35;5;59;;24;19;43;;;;;2;;46;48;;13;39;52;1;1;210;212;;;182;182;;;41;41
2014;17/09/2014;5. A8-0005/2014 Paul Tang Vote unique 17/09/2014;4;1;59;64;19;36;5;60;;24;19;43;;;;;2;;47;49;3;8;40;51;2;1;209;212;;;184;184;;;39;39
2014;17/09/2014;6. A8-0007/2014 Esteban Gonz†lez Pons Vote unique 17/09/2014;4;1;56;61;3;33;23;59;;23;19;42;;;;;2;;46;48;;13;39;52;2;1;211;214;;;183;183;;;41;41
2014;18/09/2014;1. RC-B8-0118/2014 Am 10 18/09/2014;;;56;56;26;16;11;53;17;;17;34;;;;;33;13;;46;3;7;39;49;;;187;187;2;;169;171;33;2;2;37
2014;18/09/2014;10. B8-0112/2014 ı 8 18/09/2014;;56;1;57;3;52;;55;34;3;;37;;;;;;;47;47;3;38;10;51;;191;;191;3;157;5;165;22;9;5;36
2014;18/09/2014;11. B8-0112/2014 ı 10 point d 18/09/2014;;57;;57;3;51;;54;20;17;;37;;;;;;;48;48;4;41;6;51;;189;1;190;9;155;1;165;20;10;5;35
2014;18/09/2014;12. B8-0112/2014 ı 10 point e 18/09/2014;2;54;;56;2;51;;53;20;17;;37;;;;;;;47;47;1;42;7;50;;188;1;189;7;149;4;160;20;11;5;36
2014;18/09/2014;13. B8-0112/2014 ı 10 point f 18/09/2014;1;54;1;56;3;50;;53;20;17;;37;;;;;;;48;48;4;40;6;50;;187;1;188;8;153;4;165;22;9;5;36
2014;18/09/2014;14. B8-0112/2014 ı 10 point i 18/09/2014;;56;;56;3;50;;53;18;2;17;37;;;;;;;47;47;4;11;36;51;;185;4;189;10;144;7;161;24;7;5;36
2014;18/09/2014;15. B8-0112/2014 ı 10 point k 18/09/2014;;54;1;55;3;52;;55;18;17;1;36;;;;;;;46;46;7;40;2;49;;185;4;189;9;148;3;160;24;7;6;37
2014;18/09/2014;16. B8-0112/2014 ı 10 point m 18/09/2014;2;54;1;57;2;49;;51;20;16;;36;;;;;;;45;45;1;40;10;51;;189;;189;12;148;2;162;20;10;5;35
2014;18/09/2014;17. B8-0112/2014 ConsidÇrant E 18/09/2014;;56;;56;3;52;;55;34;2;1;37;;;;;;;47;47;1;41;9;51;;188;;188;10;147;5;162;21;11;5;37
2014;18/09/2014;18. B8-0112/2014 ConsidÇrant F 18/09/2014;;56;;56;3;50;;53;34;2;1;37;;;;;;;47;47;25;16;10;51;2;187;;189;11;146;3;160;23;8;5;36
2014;18/09/2014;19. B8-0112/2014 ConsidÇrant G 18/09/2014;;57;;57;2;51;;53;33;2;1;36;;;;;;;48;48;29;9;13;51;;185;3;188;10;151;6;167;24;7;5;36
2014;18/09/2014;2. RC-B8-0118/2014 Am 11 18/09/2014;;1;56;57;1;44;9;54;1;;36;37;;;;;1;38;7;46;6;39;6;51;3;5;182;190;2;1;166;169;34;1;1;36
2014;18/09/2014;20. B8-0112/2014 ConsidÇrant I 18/09/2014;2;54;;56;3;52;;55;34;2;1;37;;;;;;;48;48;29;12;10;51;;187;;187;14;143;6;163;22;2;11;35
2014;18/09/2014;21. B8-0112/2014 RÇsolution 18/09/2014;;56;;56;6;47;;53;20;17;;37;;;;;;;47;47;9;41;1;51;;189;;189;13;152;4;169;23;10;3;36
2014;18/09/2014;22. B8-0117/2014 Am 5 18/09/2014;;54;3;57;3;50;;53;34;2;;36;;;;;;;47;47;4;33;14;51;;186;5;191;11;136;21;168;5;6;26;37
2014;18/09/2014;23. B8-0117/2014 Am 7 18/09/2014;1;54;2;57;3;51;;54;33;4;;37;;;;;;;48;48;9;35;6;50;1;189;;190;21;130;15;166;13;8;15;36
2014;18/09/2014;24. B8-0117/2014 Am 8 18/09/2014;1;54;2;57;6;46;;52;4;16;17;37;;;;;;;48;48;2;38;11;51;;187;;187;24;135;9;168;;8;28;36
2014;18/09/2014;25. B8-0117/2014 Am 10 18/09/2014;2;52;1;55;4;47;;51;3;18;16;37;;;;;;;47;47;4;34;12;50;4;182;1;187;10;128;30;168;1;6;29;36
2014;18/09/2014;26. B8-0117/2014 Am 11 18/09/2014;4;49;2;55;3;51;;54;19;17;;36;;;;;;;46;46;3;42;6;51;4;183;1;188;16;141;8;165;5;7;25;37
2014;18/09/2014;27. B8-0117/2014 Am 12 18/09/2014;1;53;2;56;3;51;;54;19;18;;37;;;;;;;48;48;8;34;9;51;;188;;188;10;129;25;164;3;7;24;34
2014;18/09/2014;28. B8-0117/2014 Am 13 18/09/2014;2;53;2;57;4;51;;55;19;18;;37;;;;;;;48;48;4;40;7;51;1;186;;187;10;137;22;169;2;9;26;37
2014;18/09/2014;29. B8-0117/2014 Am 14 18/09/2014;1;54;2;57;4;49;;53;19;18;;37;;;;;;;48;48;4;40;6;50;1;187;1;189;18;135;11;164;5;21;11;37
2014;18/09/2014;3. RC-B8-0118/2014 Am 14/1 18/09/2014;;;57;57;27;19;7;53;35;;1;36;;;;;6;39;1;46;7;37;6;50;3;;187;190;3;;169;172;1;;37;38
2014;18/09/2014;30. B8-0117/2014 Am 15 18/09/2014;1;53;1;55;4;50;;54;18;18;;36;;;;;;;46;46;;40;10;50;1;184;1;186;14;139;9;162;2;7;28;37
2014;18/09/2014;31. B8-0117/2014 Am 16 18/09/2014;2;53;1;56;3;50;;53;31;4;1;36;;;;;;;48;48;9;34;8;51;1;186;;187;12;145;7;164;5;29;3;37
2014;18/09/2014;32. B8-0117/2014 Am 17 18/09/2014;1;52;3;56;4;51;;55;20;17;;37;;;;;;;48;48;2;37;12;51;;188;;188;13;125;25;163;1;9;26;36
2014;18/09/2014;33. B8-0117/2014 Am 3 18/09/2014;1;54;1;56;4;49;1;54;34;3;;37;;;;;;;48;48;32;10;9;51;4;184;;188;11;131;26;168;1;;36;37
2014;18/09/2014;34. B8-0117/2014 RÇsolution 18/09/2014;6;3;48;57;3;6;46;55;1;18;18;37;;;;;2;44;;46;7;37;6;50;3;5;176;184;8;4;153;165;11;26;;37
2014;18/09/2014;35. B8-0081/2014 RÇsolution 18/09/2014;;48;2;50;3;43;1;47;1;17;18;36;;;;;;;45;45;2;10;37;49;2;166;6;174;10;113;10;133;;;34;34
2014;18/09/2014;4. RC-B8-0118/2014 Am 14/2 18/09/2014;1;1;52;54;25;22;6;53;2;16;18;36;;;;;3;4;40;47;3;10;38;51;1;169;12;182;4;;164;168;2;32;4;38
2014;18/09/2014;5. RC-B8-0118/2014 Am 8 18/09/2014;;;57;57;3;42;10;55;2;1;34;37;;;;;25;22;;47;3;36;11;50;3;;188;191;2;;169;171;1;36;1;38
2014;18/09/2014;6. B8-0112/2014 ı 1 18/09/2014;1;55;1;57;3;51;1;55;32;2;;34;;;;;;1;47;48;12;28;10;50;;183;7;190;6;153;5;164;22;8;6;36
2014;18/09/2014;7. B8-0112/2014 ı 3 18/09/2014;;55;;55;3;50;;53;21;16;;37;;;;;;;41;41;4;38;6;48;;173;6;179;7;155;4;166;22;7;5;34
2014;18/09/2014;8. B8-0112/2014 ı 4 18/09/2014;1;54;1;56;3;49;;52;33;2;2;37;;;;;;;45;45;7;32;10;49;;180;5;185;7;152;3;162;22;8;5;35
2014;18/09/2014;9. B8-0112/2014 ı 5 18/09/2014;1;54;2;57;2;50;;52;15;4;18;37;;;;;;;46;46;14;29;6;49;;186;;186;4;154;4;162;22;9;5;36
2014;21/10/2014;1. A8-0013/2014 Patricija ?ulin Vote unique 21/10/2014;3;;59;62;2;39;22;63;;24;18;42;;;;;2;;38;40;1;7;41;49;2;2;195;199;;;174;174;;;42;42
2014;21/10/2014;2. A8-0015/2014 Paul RÅbig Vote unique 21/10/2014;3;1;59;63;3;40;24;67;;25;18;43;;;;;;2;39;41;;14;38;52;4;2;192;198;;;180;180;;;43;43
2014;21/10/2014;3. A8-0017/2014 Petri Sarvamaa Vote unique 21/10/2014;3;1;59;63;2;41;24;67;;25;18;43;;;;;1;;41;42;;15;37;52;3;2;193;198;;;180;180;;;43;43
2014;21/10/2014;4. A8-0016/2014 Isabelle Thomas Vote unique 21/10/2014;3;;53;56;2;39;24;65;;24;19;43;;;;;;2;41;43;;15;31;46;4;1;186;191;;;181;181;;;44;44
2014;22/10/2014;1. êlection de la Commission 22/10/2014;6;;54;60;37;20;12;69;;42;1;43;;;;;1;44;;45;1;45;1;47;;2;199;201;20;12;154;186;2;44;2;48
2014;22/10/2014;10. Projet de budget gÇnÇral de l'Union europÇenne exercice 2015 Bloc 4 22/10/2014;3;1;54;58;5;42;19;66;;43;1;44;;;;;47;;;47;;46;1;47;;3;198;201;5;;177;182;;4;44;48
2014;22/10/2014;11. Projet de budget gÇnÇral de l'Union europÇenne exercice 2015 Bloc 5 22/10/2014;4;;54;58;5;42;19;66;;43;1;44;;;;;45;2;;47;;45;1;46;;5;198;203;;;182;182;;;48;48
2014;22/10/2014;12. Projet de budget gÇnÇral de l'Union europÇenne exercice 2015 Bloc 6 22/10/2014;4;;55;59;5;37;22;64;1;43;;44;;;;;43;;;43;;45;1;46;;5;199;204;;21;162;183;1;4;42;47
2014;22/10/2014;13. Projet de budget gÇnÇral de l'Union europÇenne exercice 2015 Am 553 22/10/2014;3;49;7;59;2;22;39;63;2;;42;44;;;;;15;9;14;38;3;3;40;46;1;201;1;203;4;148;29;181;1;41;6;48
2014;22/10/2014;14. Projet de budget gÇnÇral de l'Union europÇenne exercice 2015 Am 554 22/10/2014;2;49;7;58;1;21;44;66;1;;41;42;;;;;17;13;17;47;2;3;40;45;1;202;;203;8;151;18;177;35;2;9;46
2014;22/10/2014;15. Projet de budget gÇnÇral de l'Union europÇenne exercice 2015 Am 555 22/10/2014;3;47;9;59;1;23;43;67;;;43;43;;;;;17;14;16;47;2;3;40;45;1;197;5;203;7;142;29;178;2;38;7;47
2014;22/10/2014;16. Projet de budget gÇnÇral de l'Union europÇenne exercice 2015 Am 556 22/10/2014;1;48;7;56;2;19;45;66;;;44;44;;;;;20;6;19;45;3;3;39;45;1;197;1;199;8;147;24;179;1;38;5;44
2014;22/10/2014;17. Projet de budget gÇnÇral de l'Union europÇenne exercice 2015 Am 557 22/10/2014;3;48;6;57;2;20;44;66;;;44;44;;;;;17;13;16;46;3;3;37;43;2;198;;200;6;153;24;183;3;42;3;48
2014;22/10/2014;18. Projet de budget gÇnÇral de l'Union europÇenne exercice 2015 Am 676 22/10/2014;3;56;;59;6;61;;67;1;26;17;44;;;;;8;19;20;47;27;17;2;46;2;201;;203;1;179;4;184;;;48;48
2014;22/10/2014;19. A8-0014/2014 Eider Gardiazabal Rubial et Monika Hohlmeier Am 61 22/10/2014;;59;;59;;66;1;67;17;25;;42;;;;;2;8;37;47;2;40;4;46;;200;;200;1;180;1;182;1;46;;47
2014;22/10/2014;2. A8-0018/2014 GÇrard Deprez RÇsolution 22/10/2014;;3;50;53;2;41;21;64;25;1;18;44;;;;;23;5;17;45;2;36;9;47;;2;186;188;3;;175;178;1;;45;46
2014;22/10/2014;20. A8-0014/2014 Eider Gardiazabal Rubial et Monika Hohlmeier Am 31 22/10/2014;;54;5;59;1;18;48;67;;25;18;43;;;;;1;38;8;47;3;8;34;45;;198;6;204;25;156;;181;;41;6;47
2014;22/10/2014;21. A8-0014/2014 Eider Gardiazabal Rubial et Monika Hohlmeier Am 32 22/10/2014;;52;4;56;1;16;47;64;18;1;24;43;;;;;2;45;;47;;8;37;45;;198;6;204;3;179;;182;;41;6;47
2014;22/10/2014;22. A8-0014/2014 Eider Gardiazabal Rubial et Monika Hohlmeier Am 33 22/10/2014;1;57;;58;17;3;47;67;;1;42;43;;;;;41;3;3;47;26;2;16;44;;197;6;203;2;180;;182;;46;2;48
2014;22/10/2014;23. A8-0014/2014 Eider Gardiazabal Rubial et Monika Hohlmeier Am 41 22/10/2014;;55;4;59;5;59;3;67;1;;42;43;;;;;2;;45;47;28;9;9;46;;201;2;203;8;4;171;183;44;;4;48
2014;22/10/2014;24. A8-0014/2014 Eider Gardiazabal Rubial et Monika Hohlmeier Am 39 22/10/2014;;50;6;56;1;65;1;67;24;1;18;43;;;;;;;47;47;26;7;13;46;5;196;2;203;1;2;180;183;4;;44;48
2014;22/10/2014;25. A8-0014/2014 Eider Gardiazabal Rubial et Monika Hohlmeier Am 63 22/10/2014;;50;7;57;1;66;;67;;25;18;43;;;;;;;46;46;2;31;13;46;;201;3;204;1;168;13;182;43;;4;47
2014;22/10/2014;26. A8-0014/2014 Eider Gardiazabal Rubial et Monika Hohlmeier Am 40 22/10/2014;;55;2;57;1;65;;66;25;;18;43;;;;;1;1;43;45;3;37;6;46;;205;;205;10;154;14;178;1;;47;48
2014;22/10/2014;27. A8-0014/2014 Eider Gardiazabal Rubial et Monika Hohlmeier Am 4 22/10/2014;;54;1;55;;66;1;67;25;1;17;43;;;;;8;7;32;47;6;35;5;46;5;199;1;205;9;163;6;178;;;48;48
2014;22/10/2014;28. A8-0014/2014 Eider Gardiazabal Rubial et Monika Hohlmeier Am 5 22/10/2014;3;51;3;57;;64;;64;;25;18;43;;;;;;5;41;46;6;35;4;45;1;193;6;200;8;153;15;176;;;46;46
2014;22/10/2014;29. A8-0014/2014 Eider Gardiazabal Rubial et Monika Hohlmeier Am 43 22/10/2014;;55;3;58;1;66;;67;;25;18;43;;;;;;;47;47;5;37;4;46;1;195;7;203;2;172;6;180;;;48;48
2014;22/10/2014;3. Projet de budget gÇnÇral de l'Union europÇenne exercice 2015 Bloc 1 22/10/2014;3;;53;56;7;28;30;65;1;42;1;44;;;;;41;;6;47;25;15;6;46;;7;190;197;;1;179;180;;;48;48
2014;22/10/2014;30. A8-0014/2014 Eider Gardiazabal Rubial et Monika Hohlmeier Am 64 22/10/2014;;57;2;59;4;63;1;68;;25;18;43;;;;;2;;45;47;24;13;9;46;;194;6;200;;169;10;179;;;48;48
2014;22/10/2014;31. A8-0014/2014 Eider Gardiazabal Rubial et Monika Hohlmeier Am 46 22/10/2014;;56;3;59;2;25;41;68;25;1;17;43;;;;;11;4;32;47;4;5;37;46;;194;7;201;1;147;34;182;4;41;2;47
2014;22/10/2014;32. A8-0014/2014 Eider Gardiazabal Rubial et Monika Hohlmeier Am 48 22/10/2014;3;55;1;59;2;3;63;68;1;1;41;43;;;;;3;11;32;46;31;12;3;46;1;196;6;203;7;153;19;179;3;;45;48
2014;22/10/2014;33. A8-0014/2014 Eider Gardiazabal Rubial et Monika Hohlmeier Am 11 22/10/2014;4;25;28;57;;59;9;68;42;1;;43;;;;;8;27;11;46;5;36;5;46;1;194;8;203;2;150;30;182;;;48;48
2014;22/10/2014;34. A8-0014/2014 Eider Gardiazabal Rubial et Monika Hohlmeier Am 12 22/10/2014;9;9;38;56;2;7;58;67;;1;42;43;;;;;1;;43;44;11;14;17;42;15;163;23;201;6;100;73;179;1;;47;48
2014;22/10/2014;35. A8-0014/2014 Eider Gardiazabal Rubial et Monika Hohlmeier Am 50 22/10/2014;;56;1;57;;60;2;62;;25;18;43;;;;;4;1;42;47;;39;6;45;4;189;3;196;4;160;14;178;38;2;7;47
2014;22/10/2014;36. A8-0014/2014 Eider Gardiazabal Rubial et Monika Hohlmeier Am 51 22/10/2014;1;54;4;59;;64;2;66;1;24;16;41;;;;;1;1;44;46;4;36;5;45;2;195;3;200;2;167;9;178;7;41;;48
2014;22/10/2014;37. A8-0014/2014 Eider Gardiazabal Rubial et Monika Hohlmeier Am 13 22/10/2014;1;50;7;58;;67;1;68;1;;42;43;;;;;1;2;44;47;27;1;17;45;3;182;17;202;3;172;3;178;;;48;48
2014;22/10/2014;38. A8-0014/2014 Eider Gardiazabal Rubial et Monika Hohlmeier Am 65 22/10/2014;;56;2;58;1;67;;68;2;40;1;43;;;;;4;;43;47;4;38;4;46;;205;;205;4;176;3;183;;48;;48
2014;22/10/2014;39. A8-0014/2014 Eider Gardiazabal Rubial et Monika Hohlmeier Am 53 22/10/2014;3;5;51;59;;20;48;68;;;42;42;;;;;2;3;42;47;;;45;45;6;179;18;203;7;98;77;182;3;36;9;48
2014;22/10/2014;4. Projet de budget gÇnÇral de l'Union europÇenne exercice 2015 Bloc 2 22/10/2014;4;2;52;58;6;34;25;65;;43;1;44;;;;;43;;4;47;2;43;2;47;;6;194;200;1;3;178;182;4;;44;48
2014;22/10/2014;40. A8-0014/2014 Eider Gardiazabal Rubial et Monika Hohlmeier Am 58 22/10/2014;2;49;8;59;35;22;10;67;1;;41;42;;;;;9;6;31;46;1;;43;44;1;191;9;201;3;129;48;180;4;40;4;48
2014;22/10/2014;41. A8-0014/2014 Eider Gardiazabal Rubial et Monika Hohlmeier ı 86 22/10/2014;1;8;50;59;;;67;67;;;43;43;;;;;9;2;36;47;2;19;25;46;37;79;83;199;3;16;161;180;2;;46;48
2014;22/10/2014;42. A8-0014/2014 Eider Gardiazabal Rubial et Monika Hohlmeier Am 55 22/10/2014;2;54;2;58;;21;46;67;17;1;25;43;;;;;4;19;23;46;2;5;38;45;;199;1;200;;177;2;179;1;45;2;48
2014;22/10/2014;43. A8-0014/2014 Eider Gardiazabal Rubial et Monika Hohlmeier Am 57 22/10/2014;8;41;7;56;3;20;44;67;18;;25;43;;;;;4;11;32;47;2;;44;46;;194;8;202;1;123;57;181;3;40;5;48
2014;22/10/2014;44. A8-0014/2014 Eider Gardiazabal Rubial et Monika Hohlmeier Am 59 22/10/2014;;52;4;56;2;23;42;67;1;;43;44;;;;;3;14;28;45;1;;44;45;;198;4;202;2;153;28;183;1;43;4;48
2014;22/10/2014;45. A8-0014/2014 Eider Gardiazabal Rubial et Monika Hohlmeier RÇsolution 22/10/2014;1;3;54;58;5;42;21;68;;43;1;44;;;;;24;23;;47;;45;1;46;7;5;192;204;7;19;156;182;2;6;39;47
2014;22/10/2014;46. A8-0012/2014 Jan Zahradil vote, approbation 22/10/2014;;;55;55;1;;62;63;25;;19;44;;;;;28;19;;47;8;33;4;45;;;203;203;1;1;176;178;43;;5;48
2014;22/10/2014;47. A8-0019/2014 Philippe De Backer ı 8/2 22/10/2014;;;58;58;;60;6;66;1;43;;44;;;;;1;45;1;47;1;40;5;46;;2;201;203;1;14;164;179;;48;;48
