ann‚e;mois;jour;date_format
2018;12;12;20181212
2018;12;13;20181213
2019;1;14;20190114
2019;1;15;20190115
2019;1;16;20190116
2019;1;17;20190117
2019;1;30;20190130
2019;1;31;20190131
2019;2;11;20190211
2019;2;12;20190212
2019;2;13;20190213
2019;2;14;20190214
2019;3;11;20190311
2019;3;12;20190312
2019;3;13;20190313
2019;3;14;20190314
2019;3;25;20190325
2019;3;26;20190326
2019;3;27;20190327
2019;3;28;20190328
2019;4;3;20190403
2019;4;4;20190404
2019;4;15;20190415
2019;4;16;20190416
2019;4;17;20190417
2019;4;18;20190418
